image_id,text
164,A small kitchen with low a ceiling 
2255,The elephant has a large white spot on its abdomen.
2299,Many small children are posing together in the black and white photo. 
2972,Two colorful passenger trains passing near a platform.
3192,A pizza covered in veggies on a white plate sitting on a table.
3690,"An individual pizza with cheese, pineapple and sauce."
3711,A black cat sitting on top of the hood of a car.
5037,A passenger bus pulling up to the side of a street.
5477,large mustard yellow commercial airplane parked in the airport
6019,A red bicycle is parked near a red fire hydrant.
6040,A blue and white train is moving on the rails. 
6417,A surfer curls to balance on his board atop the foamy white crest of a wave
6460,a person riding a surf board on a wave
6871,An adult polar bear is swimming in the water. 
7913,a shops table filled with apples oranges and other fruits
8065,A baseball player swinging a baseball bat during a game.
9478,A giraffe standing in a field of grass.
10694,A cat stares from behind a large TV.
11374,A branch stretches in the air while an airplane flies in the distance.
12209,A baseball player holding a baseball bat during a baseball game.
