image_id,text
164,A small kitchen with low a ceiling 
2255,The elephant has a large white spot on its abdomen.
2299,Many small children are posing together in the black and white photo. 
2972,Two colorful passenger trains passing near a platform.
3192,A pizza covered in veggies on a white plate sitting on a table.
3690,"An individual pizza with cheese, pineapple and sauce."
3711,A black cat sitting on top of the hood of a car.
5037,A passenger bus pulling up to the side of a street.
5477,large mustard yellow commercial airplane parked in the airport
6019,A red bicycle is parked near a red fire hydrant.
